field	category	type_or_unit	definition	interpretation_or_caution
minimum_prestructure_score	3. Evolutionary-group identity and contributors	Fraction/score (0-1)	Minimum prestructure_score among all contributing DeepClust clusters in the evolutionary group.	Use with the mean and best scores to judge within-group heterogeneity.
lead_orthofinder_orthogroup_ids	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited OrthoFinder orthogroup identifiers associated with the cluster.	Lead-cluster snapshot, not an aggregate across every contributing cluster. May contain multiple alternative assignments; primary_group_id records the selected primary unit.
lead_orthofinder_hierarchical_group_ids	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited OrthoFinder hierarchical orthogroup identifiers associated with the cluster.	Lead-cluster snapshot, not an aggregate across every contributing cluster. These retain hierarchy-aware alternatives and should not be collapsed into ordinary orthogroup IDs.
lead_alternative_group_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of non-primary OrthoFinder group assignments retained for the cluster.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Indicates grouping ambiguity/alternatives; primary_group_id is the chosen operational group.
lead_candidate_accession_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of candidate protein accessions represented in the cluster-level record.	Lead-cluster snapshot, not an aggregate across every contributing cluster. A record count, not a species count; several accessions may belong to one species.
lead_candidate_accessions	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited candidate protein accessions associated with the lead cluster.	Lead-cluster snapshot, not an aggregate across every contributing cluster. This is a compact list; use normalized member tables for species, sequence and mapping detail.
lead_target_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of configured target species present in the primary orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Use target_species_fraction for normalized coverage.
lead_target_species_total	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's total number of target species configured for the prioritisation profile.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator for target_species_fraction; the v0.14.0 profile used 12.
lead_target_species_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of configured target species represented in the candidate's orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator is target_species_total; species absence and unavailable downstream evidence are separate concepts.
lead_target_species_present	5. Lead-cluster pre-structure evidence	Text	Deterministic lead DeepClust cluster's semicolon-delimited configured target species represented in the orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Species-level orthology presence, not proof of domain, expression or structure evidence.
lead_target_species_missing	5. Lead-cluster pre-structure evidence	Text	Deterministic lead DeepClust cluster's semicolon-delimited configured target species absent from the orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Absence at orthology stage is different from downstream evidence being unavailable.
lead_mandatory_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of configured mandatory species represented in the orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Use with mandatory_species_total and mandatory_species_missing.
lead_mandatory_species_total	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's total number of species configured as mandatory for the profile.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator for mandatory_species_fraction.
lead_mandatory_species_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of configured mandatory species represented in the candidate's orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator is mandatory_species_total; this is an orthology coverage measure.
lead_mandatory_species_missing	5. Lead-cluster pre-structure evidence	Text	Deterministic lead DeepClust cluster's semicolon-delimited mandatory species absent from the orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Any configured mandatory-species requirement should be interpreted using this explicit list.
lead_domain_supported_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of domain-assessed species with the required domain/E3 support.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Assessed negative and unavailable species have separate counts and lists.
lead_domain_assessed_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of target-present species for which domain evidence supported a positive or assessed-negative conclusion.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator for domain_species_fraction.
lead_domain_unavailable_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of target-present species lacking an assessable domain annotation result.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Unavailable is missing evidence, not an assessed negative.
lead_domain_annotation_coverage_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of target-present species with assessable domain evidence.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Coverage denominator is target-species presence; separate from the positive support fraction.
lead_domain_species_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of domain-assessed species that support the required E3/domain criterion.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Assessed negative and unavailable species are reported separately; unavailable is not zero support.
lead_domain_supported_species	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited species with positive required-domain support.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Species list corresponding to domain_supported_species_count.
lead_domain_annotated_negative_species	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited species assessed for domain evidence but not supporting the required criterion.	Lead-cluster snapshot, not an aggregate across every contributing cluster. These are true assessed negatives and must remain separate from unavailable species.
lead_domain_unavailable_species	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited target-present species without assessable domain evidence.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Missing/unavailable evidence; do not count as negative support.
lead_expression_supported_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of expression-assessed species with at least one uniquely mapped candidate member classified as broadly expressed.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Numerator for expression_species_fraction.
lead_expression_available_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of target-present species with any candidate-linked expression availability before unique-mapping assessment.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Availability is broader than assessability and can include ambiguous mappings.
lead_expression_assessed_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of target-present species with at least one uniquely mapped expression row yielding BROAD or LIMITED evidence.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator for expression_species_fraction; unavailable species are excluded rather than scored zero.
lead_expression_unavailable_species_count	5. Lead-cluster pre-structure evidence	Integer count	Deterministic lead DeepClust cluster's number of target-present species with no uniquely mapped assessable expression conclusion.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Missing evidence count; not a count of low-expression species.
lead_expression_evidence_coverage_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's expression_assessed_species_count divided by target_species_count.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Measures expression evidence completeness, while expression_species_fraction measures support among assessed species.
lead_expression_species_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of expression-assessed target species supporting broad expression for at least one mapped member.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Denominator is expression_assessed_species_count, not all target species. The stringent gate threshold is 0.80.
lead_expression_supported_species	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited expression-assessed species supporting broad expression.	Lead-cluster snapshot, not an aggregate across every contributing cluster. A species is supported if any uniquely mapped candidate member passes the broad-expression rule.
lead_expression_assessed_negative_species	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited expression-assessed species classified as LIMITED rather than BROAD.	Lead-cluster snapshot, not an aggregate across every contributing cluster. True assessed negatives under the configured rule; distinct from unavailable species.
lead_expression_unavailable_species	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited target-present species without a uniquely mapped assessable expression conclusion.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Never interpret these species as zero expression.
lead_reviewed_seed_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of matched known E3 seed identifiers that are reviewed in the source annotation.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Discovery support feature; reviewed status does not validate the new candidate experimentally.
lead_ubiquitin_go_positive_seed_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of matched seed identifiers with positive ubiquitin-system GO support.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Discovery evidence fraction derived from seed annotations.
lead_exclusion_flag_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of matched seed identifiers carrying configured exclusion-associated GO annotations.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Higher values weaken discovery support; inspect the exact seed records for interpretation.
lead_discovery_score	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's normalized component score summarising discovery-cluster seed support and exclusion evidence.	Lead-cluster snapshot, not an aggregate across every contributing cluster. One component of prestructure_score; not an independent experimental confidence.
lead_orthology_score	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's normalized component score for target and mandatory species representation in the orthology group.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Weighted at 0.35 in prestructure_score under the final profile.
lead_domain_score	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's normalized component score for required-domain support across domain-assessed species.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Weighted at 0.20 in prestructure_score; missing coverage is recorded separately.
lead_expression_score	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's normalized component score derived from expression_species_fraction when expression evidence is assessable.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Missing expression is retained explicitly; no assessed evidence does not constitute a stringent expression pass.
lead_evidence_completeness_fraction	5. Lead-cluster pre-structure evidence	Fraction/score (0-1)	Deterministic lead DeepClust cluster's fraction of the major evidence dimensions with sufficient assessable data for the record.	Lead-cluster snapshot, not an aggregate across every contributing cluster. A completeness measure, not a biological support score.
lead_grant_aligned_criteria_status	5. Lead-cluster pre-structure evidence	Categorical status	Deterministic lead DeepClust cluster's categorical summary of the configured pre-structure grant-aligned criteria.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Read with explicit inclusion, exclusion and missing-evidence fields.
lead_grant_aligned_stringent_pass	5. Lead-cluster pre-structure evidence	Boolean	Deterministic lead DeepClust cluster's boolean indicating that all configured stringent pre-structure criteria pass.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Precedes structural assessment; not equivalent to grant_aligned_final_pass.
lead_computational_structure_selected	5. Lead-cluster pre-structure evidence	Boolean	Deterministic lead DeepClust cluster's boolean indicating that the evolutionary group fell within the configured top-200 distinct groups selected for structural analysis.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Selection for computation is not a structural pass or experimental recommendation.
lead_inclusion_reasons	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited reasons why the record was retained or positively supported in pre-structure prioritisation.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Human-readable audit text; use the explicit gate fields for programmatic logic.
lead_exclusion_reasons	5. Lead-cluster pre-structure evidence	Semicolon-delimited text list	Deterministic lead DeepClust cluster's semicolon-delimited pre-structure reasons preventing a stringent pass.	Lead-cluster snapshot, not an aggregate across every contributing cluster. These are assessed failures; missing_evidence separately records unavailable evidence.
lead_missing_evidence	5. Lead-cluster pre-structure evidence	Text	Deterministic lead DeepClust cluster's semicolon-delimited description of evidence that was unavailable or could not be assessed.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Missing evidence must never be recoded as a negative result or numeric zero.
lead_profile_name	5. Lead-cluster pre-structure evidence	Text	Deterministic lead DeepClust cluster's name of the configured prioritisation/scoring profile that produced the record.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Scores from different profiles should not be compared without checking their configurations.
lead_interpretation	5. Lead-cluster pre-structure evidence	Text	Deterministic lead DeepClust cluster's release-wide interpretation statement attached to the result row.	Lead-cluster snapshot, not an aggregate across every contributing cluster. Explicitly states that the result is computational prioritisation and requires experimental validation.
final_rank	1. Ranks and review statuses	Integer; blank if ineligible	Final integrated rank of the deterministic lead DeepClust cluster after structural evidence was added.	Cluster-level rank; final_evolutionary_rank is the preferred ordering for distinct evolutionary candidates.
stringent_rank	1. Ranks and review statuses	Integer; blank if ineligible	Rank among clusters passing the configured base grant-aligned gate before any required 3D-alignment gate.	Blank means the cluster did not pass grant_aligned_base_pass. In v0.14.0 all rows are blank because the base gate had zero passes.
structurally_supported_rank	1. Ranks and review statuses	Integer; blank if ineligible	Rank among clusters passing every configured final gate, including required 3D pocket alignment where enabled.	Blank means the final gate did not pass. It must not be read as a poor numeric rank.
boss_review_status	1. Ranks and review statuses	Categorical status	Review-list label indicating whether the group is structurally supported or requires boss review with explicit evidence gaps.	Added to top review-list files; it is a review-routing label, not a scientific pass by itself.
recommendation_status	1. Ranks and review statuses	Categorical status	Cluster-level recommendation label derived from final gate status and the configured candidate limit.	Possible meanings include priority recommendation, stringent pass outside the limit, or further evidence/review required.
grant_aligned_prediction_status	1. Ranks and review statuses	Categorical status	Plain-language classification of whether all configured grant-aligned computational gates passed.	Not grant-aligned is not equivalent to biologically inactive; it records failure or non-assessment of one or more computational gates.
orthofinder_orthogroup_ids	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited OrthoFinder orthogroup identifiers associated with the cluster.	May contain multiple alternative assignments; primary_group_id records the selected primary unit.
orthofinder_hierarchical_group_ids	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited OrthoFinder hierarchical orthogroup identifiers associated with the cluster.	These retain hierarchy-aware alternatives and should not be collapsed into ordinary orthogroup IDs.
candidate_accessions	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited candidate protein accessions associated with the lead cluster.	This is a compact list; use normalized member tables for species, sequence and mapping detail.
prestructure_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Weighted pre-structure score: 0.10 discovery + 0.35 orthology + 0.20 domain + 0.35 expression.	A prioritisation score on a 0-1 scale, not a probability of experimental success.
ligandability_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Integrated cluster-level ligandability score derived from selected-pocket quality and member-level structural assessments.	Higher is better under the configured profile; inspect component fields and missingness before comparing close values.
pocket_conservation_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Cluster-level score summarising conservation of the selected pocket region across assessed members.	Sequence-region conservation is distinct from same-position or fully conserved 3D-pocket support.
three_dimensional_pocket_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Score summarising group-level three-dimensional pocket alignment and residue/chemical conservation evidence.	Only interpretable when three_dimensional_alignment_status is not NOT_ASSESSED.
three_dimensional_position_status	6. Integrated structural scores and final gates	Categorical status	Primary-analysis categorical conclusion on whether assessed member pockets occupy the same 3D position.	Same-position support is weaker than full conserved-pocket support; missing/non-assessed is not negative evidence.
three_dimensional_alignment_status	6. Integrated structural scores and final gates	Categorical status	Primary-analysis categorical conclusion on whether the 3D pocket is positionally and chemically/residually conserved.	This is the configured primary 3D gate; the sensitivity status is reported separately.
mean_minimum_tm_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean across assessed members of the minimum TM-score used for structural alignment support.	A 0-1 structural-similarity measure; inspect coverage and status rather than treating it alone as a pass.
mean_pocket_overlap_fraction	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean fraction of selected-pocket residues spatially overlapping the aligned reference pocket across assessed members.	Fraction is 0-1 and is conditional on successful structural mapping/alignment.
median_centroid_distance_angstrom	6. Integrated structural scores and final gates	Number (Å)	Median distance in angstroms between aligned pocket centroids across assessed comparisons.	Lower generally indicates closer positional agreement; interpret with overlap and TM-score.
mean_structural_residue_match_fraction	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean fraction of reference pocket positions that could be matched structurally across assessed members.	Measures mappability of pocket positions, not amino-acid identity.
mean_structural_residue_identity_fraction	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean exact amino-acid identity fraction at structurally matched pocket positions.	A strict residue identity measure; chemical-group conservation can remain higher.
mean_structural_chemical_group_conservation	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean fraction of structurally matched pocket positions retaining the configured amino-acid chemical group.	Uses grouped chemical similarity and is less strict than exact identity.
structural_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Integrated structural score, normally 0.55 ligandability + 0.45 pocket conservation, with configured 3D refinement when assessed.	Composite score; gate fields, not score alone, determine grant-aligned pass status.
final_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Integrated prioritisation score: 0.60 prestructure_score + 0.40 structural_score.	Orders review candidates but does not override hard evidence gates.
target_species_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of configured target species represented in the candidate's orthology group.	Denominator is target_species_total; species absence and unavailable downstream evidence are separate concepts.
mandatory_species_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of configured mandatory species represented in the candidate's orthology group.	Denominator is mandatory_species_total; this is an orthology coverage measure.
domain_species_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of domain-assessed species that support the required E3/domain criterion.	Assessed negative and unavailable species are reported separately; unavailable is not zero support.
expression_species_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of expression-assessed target species supporting broad expression for at least one mapped member.	Denominator is expression_assessed_species_count, not all target species. The stringent gate threshold is 0.80.
structural_species_fraction	6. Integrated structural scores and final gates	Fraction/score (0-1)	Fraction of expected target-species representatives with resolved, interpretable structural evidence.	A structure-coverage field; unresolved predictions reduce coverage but are not equivalent to a negative pocket result.
minimum_druggability_score	6. Integrated structural scores and final gates	Fraction/score (0-1)	Minimum selected-pocket druggability score among assessed members of the cluster/group.	The minimum enforces the all-member criterion and can veto a high mean score.
mean_pairwise_region_overlap	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean pairwise overlap fraction for the conserved pocket region across assessed members.	Sequence-region overlap measure; distinct from three-dimensional pocket overlap.
mean_chemical_group_conservation	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean sequence-alignment conservation of configured amino-acid chemical groups within the pocket region.	A sequence-region measure and not the same as mean_structural_chemical_group_conservation.
mean_pocket_plddt_fraction	6. Integrated structural scores and final gates	Fraction/score (0-1)	Mean fraction of selected-pocket residues meeting the configured AlphaFold pLDDT confidence requirement.	Confidence coverage, not pocket druggability or conservation.
predictor_agreement_fraction	6. Integrated structural scores and final gates	Fraction/score (0-1)	Fraction of assessed members for which the configured pocket predictors agree on the mapped region.	Agreement supports robustness but does not itself establish ligandability.
all_assessed_members_pass_druggability	6. Integrated structural scores and final gates	Boolean	Boolean indicating that every structurally assessed member passes the configured druggability threshold.	True only over assessed members; structural_species_fraction shows how complete that assessed set is.
all_assessed_members_pass_mapping	6. Integrated structural scores and final gates	Boolean	Boolean indicating that every structurally assessed member passes the configured pocket-mapping criterion.	Does not imply that every expected species had a resolved structure.
grant_aligned_prestructure_pass	6. Integrated structural scores and final gates	Boolean	Boolean copy of the stringent pre-structure gate result before ligandability and structural criteria.	Requires all configured discovery/orthology/domain/expression criteria; it is not score-only.
grant_aligned_base_pass	6. Integrated structural scores and final gates	Boolean	Boolean indicating that pre-structure, conserved-region, minimum druggability, all-member mapping/druggability and structural-coverage gates pass.	Computed before applying any separately required full 3D-pocket alignment gate.
grant_aligned_final_pass	6. Integrated structural scores and final gates	Boolean	Boolean indicating that every configured pre-structure and structural gate passes, including required 3D alignment.	The final computational gate. In v0.14.0 its value is false for all 1,972 groups.
conservation_status	6. Integrated structural scores and final gates	Categorical status	Categorical result for sequence-based conserved pocket-region support.	Do not equate sequence-region support with same-position or fully conserved 3D-pocket support.
inclusion_reasons	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited reasons why the record was retained or positively supported in pre-structure prioritisation.	Human-readable audit text; use the explicit gate fields for programmatic logic.
exclusion_reasons	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited pre-structure reasons preventing a stringent pass.	These are assessed failures; missing_evidence separately records unavailable evidence.
missing_evidence	4. Pre-structure species, domain and expression evidence	Text	Semicolon-delimited description of evidence that was unavailable or could not be assessed.	Missing evidence must never be recoded as a negative result or numeric zero.
structural_exclusion_reasons	6. Integrated structural scores and final gates	Semicolon-delimited text list	Semicolon-delimited structural reasons preventing the base or final grant-aligned pass.	Can contain multiple independent vetoes; inspect alongside structural coverage and status fields.
profile_name	4. Pre-structure species, domain and expression evidence	Text	Name of the configured prioritisation/scoring profile that produced the record.	Scores from different profiles should not be compared without checking their configurations.
interpretation	4. Pre-structure species, domain and expression evidence	Text	Release-wide interpretation statement attached to the result row.	Explicitly states that the result is computational prioritisation and requires experimental validation.
computational_rank	4. Pre-structure species, domain and expression evidence	Integer; blank if ineligible	Pre-structure rank of the DeepClust cluster before ligandability and structural integration.	Cluster-level rank; distinct evolutionary groups are ranked by prestructure_evolutionary_group_rank.
alternative_group_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of non-primary OrthoFinder group assignments retained for the cluster.	Indicates grouping ambiguity/alternatives; primary_group_id is the chosen operational group.
candidate_accession_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of candidate protein accessions represented in the cluster-level record.	A record count, not a species count; several accessions may belong to one species.
target_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of configured target species present in the primary orthology group.	Use target_species_fraction for normalized coverage.
target_species_total	4. Pre-structure species, domain and expression evidence	Integer count	Total number of target species configured for the prioritisation profile.	Denominator for target_species_fraction; the v0.14.0 profile used 12.
target_species_present	4. Pre-structure species, domain and expression evidence	Text	Semicolon-delimited configured target species represented in the orthology group.	Species-level orthology presence, not proof of domain, expression or structure evidence.
target_species_missing	4. Pre-structure species, domain and expression evidence	Text	Semicolon-delimited configured target species absent from the orthology group.	Absence at orthology stage is different from downstream evidence being unavailable.
mandatory_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of configured mandatory species represented in the orthology group.	Use with mandatory_species_total and mandatory_species_missing.
mandatory_species_total	4. Pre-structure species, domain and expression evidence	Integer count	Total number of species configured as mandatory for the profile.	Denominator for mandatory_species_fraction.
mandatory_species_missing	4. Pre-structure species, domain and expression evidence	Text	Semicolon-delimited mandatory species absent from the orthology group.	Any configured mandatory-species requirement should be interpreted using this explicit list.
domain_supported_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of domain-assessed species with the required domain/E3 support.	Assessed negative and unavailable species have separate counts and lists.
domain_assessed_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of target-present species for which domain evidence supported a positive or assessed-negative conclusion.	Denominator for domain_species_fraction.
domain_unavailable_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of target-present species lacking an assessable domain annotation result.	Unavailable is missing evidence, not an assessed negative.
domain_annotation_coverage_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of target-present species with assessable domain evidence.	Coverage denominator is target-species presence; separate from the positive support fraction.
domain_supported_species	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited species with positive required-domain support.	Species list corresponding to domain_supported_species_count.
